date,price,gex
2012-10-31,1412.160034,787647145.9496
2012-11-01,1427.589966,1278333550.7926
2012-11-02,1414.199951,745669691.5821
2012-11-05,1417.26001,937015288.1214
2012-11-06,1428.390015,1282215427.8178
2012-11-07,1394.530029,-61573416.8004
2012-11-08,1377.51001,-640365600.9792
2012-11-09,1379.849976,-183459819.09
2012-11-12,1380.030029,-161566654.388
2012-11-13,1374.530029,-326649444.64
2012-11-14,1355.48999,-896279282.6408
2012-11-15,1353.329956,-1064663260.4975
2012-11-16,1359.880005,-902628346.3255
2012-11-19,1386.890015,833108848.463
2012-11-20,1387.810059,936082158.6651
2012-11-21,1391.030029,1074233864.96
2012-11-23,1409.150024,1285954948.762
2012-11-26,1406.290039,1489869808.622
2012-11-27,1398.939941,1195461959.2076
2012-11-28,1409.930054,1458462713.58
2012-11-29,1415.949951,1966128578.08
2012-11-30,1416.180054,1462041482.835
2012-12-03,1409.459961,1319254401.0254
2012-12-04,1407.050049,987939253.4356
2012-12-05,1409.280029,619549268.3389
2012-12-06,1413.939941,863020317.6577
2012-12-07,1418.069946,999761409.5661
2012-12-10,1418.550049,962073907.995
2012-12-11,1427.839966,1410736639.0444
2012-12-12,1428.47998,1379685819.5098
2012-12-13,1419.449951,898420939.0524
2012-12-14,1413.579956,757602274.7429
2012-12-17,1430.359985,1349747636.855
2012-12-18,1446.790039,2143409967.5644
2012-12-19,1435.810059,1711681838.0661
2012-12-20,1443.689941,1798995792.8876
2012-12-21,1430.150024,867379053.04
2012-12-24,1426.660034,874452741.698
2012-12-26,1419.829956,589989445.0121
2012-12-27,1418.099976,648806625.42
2012-12-28,1402.430054,313374576.3739
2012-12-31,1426.189941,1037372986.3011
2013-01-02,1462.420044,2271946220.0525
2013-01-03,1459.369995,2115151899.1087
2013-01-04,1466.469971,1927021353.7524
2013-01-07,1461.890015,1824539134.8105
2013-01-08,1457.150024,1687059848.4134
2013-01-09,1461.02002,1692440459.245
2013-01-10,1472.119995,2165222550.12
2013-01-11,1472.050049,2151586354.54
2013-01-14,1470.680054,1948029763.487
2013-01-15,1472.339966,1915405614.555
2013-01-16,1472.630005,2252665998.85
2013-01-17,1480.939941,2797809460.215
2013-01-18,1485.97998,6626065505.444
2013-01-22,1492.560059,1401035800.382
2013-01-23,1494.810059,1660669630.66
2013-01-24,1494.819946,1217452162.2
2013-01-25,1502.959961,1416846844.961
2013-01-28,1500.180054,1414172220.54
2013-01-29,1507.839966,1650243398.925
2013-01-30,1501.959961,1556969383.32
2013-01-31,1498.109985,1367683606.355
2013-02-01,1513.170044,1695589832.7
2013-02-04,1495.709961,1254710705.61
2013-02-05,1511.290039,1926419295.0078
